Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback
T5D3,97.50996596,Ralph Lauren,Footwear,Bad,1.421705901,492,Streetwear,"M, L, XL",XL,Green,Medium,24,Vogue,Chiara Ferragni,Fall/Winter,Daytime,Mixed,Mixed,Other
Y0V7,52.34127719,Ted Baker,Tops,Not Good,1.037676875,57,Vintage,"M, L, XL",XL,Black,Above Average,61,Glamour,Leandra Medine,Winter,Weekend,Negative,Neutral,Other
N9Q4,15.43097537,Jigsaw,Footwear,Very Bad,3.967106268,197,Streetwear,"S, M, L",M,Blue,Average,27,Marie Claire,Gigi Hadid,Summer,Nighttime,Unknown,Negative,Neutral
V2T6,81.11654218,Alexander McQueen,Outerwear,Not Good,2.844658673,473,Formal,"S, M, L",L,Red,Very High,50,Marie Claire,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Other,Other
S7Y1,31.63368585,Tommy Hilfiger,Bottoms,Very Good,1.183242498,55,Sporty,"M, L, XL",S,Green,Above Average,23,Glamour,Song of Style,Spring,Daytime,Positive,Mixed,Positive
N5B8,46.18416286,Alexander McQueen,Outerwear,Very Bad,3.296388938,317,Streetwear,"S, M, L",M,Blue,Negligible,28,Fashionista,Olivia Palermo,Summer,Holiday,Positive,Negative,Other
W9E4,70.49485739,Ralph Lauren,Bottoms,Best,3.730881149,356,Edgy,"S, L, XL",L,Black,Very Low,54,Glamour,Kendall Jenner,Winter,Daytime,Positive,Other,Negative
T4D0,83.2154267,Calvin Klein,Outerwear,Good,1.455745754,487,Edgy,"S, L, XL",XL,Green,Average,27,W,Aimee Song,Summer,Nighttime,Mixed,Mixed,Neutral
W3E2,52.79674887,Jigsaw,Bottoms,Best,4.958484337,194,Sporty,"S, M, L",XL,Blue,Very Low,35,Glamour,Kendall Jenner,Fall/Winter,Nighttime,Mixed,Negative,Neutral
Q8I0,70.44567121,Tommy Hilfiger,Tops,Very Good,3.651892864,391,Minimalist,"M, L, XL",L,Red,Negligible,24,Vogue,Song of Style,Spring/Summer,Daytime,Positive,Other,Negative
L9V7,10.51238492,Tommy Hilfiger,Outerwear,Not Good,4.440638521,77,Preppy,"M, L, XL",M,Blue,Significant,33,Harper's Bazaar,Olivia Palermo,Fall/Winter,Holiday,Negative,Mixed,Negative
V4X4,67.53050588,Calvin Klein,Outerwear,Worst,3.244025426,187,Glamorous,"S, L, XL",S,Blue,Medium,47,Grazia,Chiara Ferragni,Fall,Evening,Mixed,Positive,Unknown
R8M8,70.52382705,Jigsaw,Bottoms,Worst,4.140806754,127,Streetwear,"M, L, XL",L,Black,Above Average,58,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Unknown,Neutral,Neutral
W2G6,38.3840214,Tommy Hilfiger,Accessories,Best,2.227764976,357,Sporty,"S, M, L",M,Black,Very High,54,Grazia,Chiara Ferragni,Fall,Weekend,Unknown,Other,Other
L2Z4,54.0600595,Alexander McQueen,Footwear,Very Bad,4.44145249,134,Minimalist,"S, L, XL",M,Black,Medium,34,Fashionista,Gigi Hadid,Summer,Evening,Mixed,Positive,Positive
G0T5,21.42956546,Ted Baker,Dresses,Not Good,3.215271373,281,Casual,"M, L, XL",S,Green,Below Average,36,Cosmopolitan,Chiara Ferragni,Summer,Nighttime,Neutral,Neutral,Other
X8N2,70.58005299,Ted Baker,Swimwear,Very Good,1.502777508,454,Streetwear,"S, L, XL",S,Black,Very Low,39,Glamour,Aimee Song,Spring,Daytime,Unknown,Neutral,Other
B3L2,83.40829095,Mulberry,Activewear,Very Bad,2.110118632,446,Bohemian,"M, L, XL",S,Green,Very Low,25,W,Kendall Jenner,Spring/Summer,Evening,Mixed,Unknown,Unknown
M3F2,57.23354113,Calvin Klein,Footwear,Very Bad,3.924005374,260,Edgy,"M, L, XL",L,Black,Average,60,Elle,Julie Sariñana,Summer,Holiday,Neutral,Positive,Neutral
Z3M4,69.49943608,Ted Baker,Lingerie,Very Bad,1.786342864,20,Sporty,"S, M, L",L,Blue,Medium,23,Elle,Olivia Palermo,Summer,Daytime,Negative,Neutral,Unknown
F0U3,13.10937989,Jigsaw,Footwear,Good,2.326211278,380,Streetwear,"S, L, XL",M,Black,Low,22,Fashionista,Leandra Medine,Fall/Winter,Weekend,Positive,Neutral,Other
C8Y9,66.42802599,Calvin Klein,Outerwear,Not Good,4.957496187,322,Sporty,"S, L, XL",S,Black,Below Average,28,Fashionista,Chiara Ferragni,Spring,Daytime,Neutral,Neutral,Unknown
C7X4,19.02566258,Burberry,Accessories,Worst,3.85828547,54,Minimalist,"M, L, XL",M,Red,Very Low,26,Cosmopolitan,Olivia Palermo,Fall/Winter,Holiday,Mixed,Unknown,Mixed
Q3P5,37.76430277,Ted Baker,Accessories,Very Bad,4.897313956,96,Bohemian,"S, M, L",XL,Black,Negligible,27,Harper's Bazaar,Camila Coelho,Fall/Winter,Nighttime,Mixed,Positive,Other
N0C7,28.35869157,Burberry,Accessories,Very Good,2.369028822,449,Glamorous,"S, M, L",S,Red,Average,63,Vogue,Negin Mirsalehi,Summer,Daytime,Mixed,Other,Other
Q2H7,59.94800132,Ted Baker,Accessories,Good,1.673046137,268,Sporty,"S, M, L",M,Green,Average,58,W,Aimee Song,Fall/Winter,Daytime,Negative,Other,Other
D4R2,64.00338117,Burberry,Dresses,Best,3.400469144,253,Preppy,"S, M, L",S,Black,Negligible,64,Elle,Olivia Palermo,Spring/Summer,Daytime,Negative,Mixed,Neutral
U5D1,46.81316769,Alexander McQueen,Accessories,Very Bad,3.722415398,298,Formal,"S, M, L",L,Green,Low,29,Fashionista,Kendall Jenner,Fall,Holiday,Unknown,Positive,Positive
R5N3,95.72779581,Mulberry,Accessories,Not Good,4.564476905,334,Minimalist,"S, M, L",M,Green,Low,51,Marie Claire,Olivia Palermo,Summer,Daytime,Neutral,Other,Neutral
T4O2,11.22895487,Jigsaw,Accessories,Good,4.748675281,28,Minimalist,"M, L, XL",M,Blue,High,36,Marie Claire,Olivia Palermo,Winter,Evening,Unknown,Mixed,Mixed
R8J5,64.64599392,Ted Baker,Accessories,Good,4.605949727,8,Bohemian,"S, L, XL",M,Red,Very High,28,Harper's Bazaar,Song of Style,Spring,Daytime,Unknown,Neutral,Unknown
R8V8,50.0036906,Tommy Hilfiger,Swimwear,Very Bad,2.266029081,369,Streetwear,"S, M, L",XL,Red,Very High,55,Cosmopolitan,Negin Mirsalehi,Fall/Winter,Weekend,Negative,Negative,Positive
S8H7,68.12098557,Alexander McQueen,Bottoms,Very Good,1.76610049,480,Vintage,"S, M, L",M,Red,Average,46,Grazia,Kendall Jenner,Spring/Summer,Holiday,Unknown,Unknown,Negative
Z3S1,19.27238812,Tommy Hilfiger,Jewelry,Bad,1.808941781,333,Casual,"S, M, L",L,Black,Negligible,60,Harper's Bazaar,Kendall Jenner,Fall/Winter,Evening,Mixed,Other,Positive
N8B0,17.76178529,Tommy Hilfiger,Swimwear,Best,1.927602541,20,Bohemian,"M, L, XL",XL,Black,Above Average,34,Grazia,Leandra Medine,Fall,Weekend,Unknown,Positive,Neutral
I8L2,57.25758815,Calvin Klein,Bottoms,Very Good,4.759823779,198,Bohemian,"M, L, XL",M,Green,Low,60,Cosmopolitan,Aimee Song,Spring,Weekend,Positive,Neutral,Mixed
O2W4,55.22805556,Jigsaw,Tops,Not Good,1.13567847,1,Glamorous,"S, M, L",S,Blue,Medium,19,Glamour,Song of Style,Fall,Daytime,Mixed,Neutral,Neutral
B7H6,82.04277361,Mulberry,Accessories,Good,3.204082672,79,Bohemian,"M, L, XL",XL,Black,Low,42,Glamour,Chiara Ferragni,Summer,Nighttime,Unknown,Positive,Unknown
P2S2,64.53415237,Mulberry,Tops,Worst,1.929778688,102,Minimalist,"M, L, XL",XL,Blue,Below Average,38,Grazia,Chiara Ferragni,Spring,Holiday,Mixed,Negative,Other
W5X8,24.67609596,Tommy Hilfiger,Accessories,Best,1.575536671,423,Preppy,"S, L, XL",XL,Blue,Below Average,58,Harper's Bazaar,Negin Mirsalehi,Fall/Winter,Daytime,Neutral,Neutral,Neutral
G9Q3,47.20714942,Ralph Lauren,Tops,Very Bad,2.269190837,73,Streetwear,"S, M, L",L,Red,Average,61,Elle,Gigi Hadid,Summer,Daytime,Neutral,Other,Positive
T0D0,28.7309519,Tommy Hilfiger,Dresses,Not Good,3.577430333,462,Casual,"S, L, XL",XL,Green,Negligible,21,Cosmopolitan,Kendall Jenner,Fall/Winter,Nighttime,Neutral,Mixed,Unknown
Z7O8,96.43290818,Ralph Lauren,Jewelry,Not Good,1.372219353,17,Casual,"S, M, L",L,Blue,Average,41,Grazia,Aimee Song,Fall,Evening,Unknown,Unknown,Other
F3C7,80.2558304,Ted Baker,Lingerie,Good,3.257243049,279,Casual,"S, M, L",S,Black,Low,22,Harper's Bazaar,Gigi Hadid,Winter,Evening,Unknown,Unknown,Negative
K7A3,32.96098244,Burberry,Lingerie,Best,2.431037189,175,Streetwear,"S, M, L",L,Red,Average,43,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Negative,Negative,Other
K9Y9,76.37694669,Ralph Lauren,Outerwear,Worst,3.092334235,418,Glamorous,"M, L, XL",XL,Blue,Medium,30,Fashionista,Gigi Hadid,Spring/Summer,Weekend,Positive,Mixed,Mixed
R8U6,43.43469581,Ted Baker,Footwear,Not Good,2.322196067,196,Vintage,"S, M, L",L,Red,High,30,Vogue,Camila Coelho,Fall/Winter,Weekend,Negative,Unknown,Unknown
B6B8,97.70615758,Burberry,Footwear,Bad,1.509789171,294,Formal,"S, L, XL",XL,Blue,Above Average,32,Marie Claire,Olivia Palermo,Spring,Nighttime,Mixed,Negative,Mixed
N5K2,20.32584461,Mulberry,Activewear,Very Bad,4.41604713,383,Edgy,"M, L, XL",XL,Blue,Negligible,40,Elle,Negin Mirsalehi,Summer,Weekend,Neutral,Unknown,Other
K2N8,28.16127994,Jigsaw,Tops,Worst,4.839103559,155,Minimalist,"S, M, L",XL,Blue,Significant,33,Fashionista,Chiara Ferragni,Fall,Evening,Positive,Mixed,Mixed
W3I5,78.40466183,Tommy Hilfiger,Outerwear,Bad,4.149176078,490,Casual,"M, L, XL",M,Green,Above Average,55,W,Gigi Hadid,Summer,Weekend,Neutral,Positive,Unknown
Q9J5,59.29150674,Tommy Hilfiger,Activewear,Good,2.886203941,244,Formal,"S, L, XL",S,Green,Above Average,40,Grazia,Gigi Hadid,Spring/Summer,Daytime,Neutral,Unknown,Neutral
M7D8,18.28454082,Burberry,Lingerie,Good,2.783151084,9,Glamorous,"S, M, L",L,Green,Medium,57,Fashionista,Leandra Medine,Spring,Nighttime,Mixed,Other,Other
V7M1,65.60053611,Burberry,Dresses,Very Good,1.060963072,336,Minimalist,"S, M, L",M,Green,Average,53,Glamour,Aimee Song,Winter,Evening,Neutral,Positive,Other
H5V2,67.01881289,Tommy Hilfiger,Outerwear,Bad,1.425718523,490,Streetwear,"S, L, XL",S,Green,Low,21,Grazia,Aimee Song,Summer,Nighttime,Neutral,Neutral,Other
B5R6,73.50550764,Mulberry,Dresses,Very Bad,4.588372416,220,Vintage,"M, L, XL",XL,Red,Medium,49,Marie Claire,Aimee Song,Winter,Weekend,Unknown,Neutral,Other
P8I6,40.84687416,Mulberry,Bottoms,Not Good,1.348340238,33,Minimalist,"S, M, L",M,Green,High,61,Harper's Bazaar,Gigi Hadid,Spring/Summer,Weekend,Positive,Other,Other
J2F6,68.18469317,Ralph Lauren,Activewear,Very Bad,4.451216402,393,Vintage,"S, M, L",L,Black,Above Average,28,Vogue,Song of Style,Fall/Winter,Holiday,Neutral,Positive,Other
R3T2,15.35442054,Calvin Klein,Lingerie,Good,3.915156172,199,Minimalist,"M, L, XL",S,Green,Above Average,43,Elle,Julie Sariñana,Winter,Evening,Unknown,Unknown,Negative
N6X1,12.2085807,Calvin Klein,Swimwear,Very Good,2.427133267,385,Edgy,"S, M, L",L,Blue,High,32,InStyle,Julie Sariñana,Winter,Daytime,Mixed,Unknown,Other
V8P4,74.35357846,Burberry,Outerwear,Very Bad,2.147730585,375,Casual,"S, L, XL",M,Red,Very Low,49,W,Leandra Medine,Spring,Daytime,Positive,Positive,Mixed
Q1Z4,23.76237381,Ralph Lauren,Outerwear,Bad,4.188650598,292,Minimalist,"S, L, XL",M,Blue,High,29,Fashionista,Negin Mirsalehi,Winter,Daytime,Neutral,Other,Other
H8E1,38.76072516,Mulberry,Footwear,Good,2.29238408,349,Vintage,"S, L, XL",XL,Black,Above Average,27,W,Olivia Palermo,Winter,Daytime,Neutral,Positive,Other
X6E5,22.95641481,Jigsaw,Lingerie,Very Bad,1.566964016,448,Bohemian,"M, L, XL",L,Black,Negligible,18,Marie Claire,Camila Coelho,Summer,Evening,Negative,Negative,Positive
N7R2,31.10407198,Alexander McQueen,Dresses,Bad,3.002779754,79,Vintage,"S, M, L",S,Green,Very Low,34,Grazia,Negin Mirsalehi,Fall,Evening,Negative,Neutral,Mixed
G3T6,74.99821281,Jigsaw,Dresses,Very Bad,2.254908136,378,Formal,"S, M, L",XL,Blue,High,28,Marie Claire,Julie Sariñana,Summer,Weekend,Positive,Mixed,Negative
Y1E2,60.23648667,Burberry,Dresses,Bad,3.866411774,363,Glamorous,"S, L, XL",S,Red,Negligible,41,Cosmopolitan,Song of Style,Fall/Winter,Weekend,Neutral,Neutral,Mixed
R9H3,94.46251137,Calvin Klein,Lingerie,Bad,2.177462253,28,Preppy,"S, M, L",S,Green,Very High,55,Grazia,Gigi Hadid,Fall/Winter,Weekend,Positive,Other,Mixed
P1G7,70.90902167,Calvin Klein,Lingerie,Very Bad,2.156597166,267,Sporty,"S, L, XL",M,Red,Below Average,45,Cosmopolitan,Julie Sariñana,Spring/Summer,Holiday,Positive,Neutral,Positive
M0P8,72.85863922,Jigsaw,Bottoms,Very Good,1.158979573,313,Vintage,"S, L, XL",XL,Green,Low,39,Glamour,Negin Mirsalehi,Fall/Winter,Nighttime,Negative,Unknown,Negative
R1F9,15.55409897,Burberry,Accessories,Worst,3.118230558,440,Casual,"S, M, L",S,Green,Below Average,55,Marie Claire,Chiara Ferragni,Winter,Nighttime,Negative,Unknown,Negative
B1S9,85.99435906,Alexander McQueen,Dresses,Very Bad,1.484716493,342,Vintage,"M, L, XL",M,Red,Very Low,28,Fashionista,Camila Coelho,Spring/Summer,Weekend,Positive,Negative,Other
Y5J4,56.72690324,Alexander McQueen,Activewear,Best,1.501967288,376,Streetwear,"S, M, L",S,Red,Significant,47,Elle,Song of Style,Spring/Summer,Evening,Positive,Positive,Other
J6D6,13.23290538,Ralph Lauren,Dresses,Worst,3.604591518,406,Preppy,"S, M, L",XL,Black,Negligible,33,Glamour,Olivia Palermo,Winter,Nighttime,Positive,Positive,Positive
P4P9,92.43011814,Tommy Hilfiger,Bottoms,Good,1.62979872,166,Sporty,"M, L, XL",L,Green,Very Low,60,Vogue,Chiara Ferragni,Fall,Holiday,Negative,Neutral,Other
I8F0,86.15417899,Ted Baker,Activewear,Good,3.452178251,444,Preppy,"S, M, L",S,Red,Very High,61,Grazia,Camila Coelho,Summer,Nighttime,Negative,Mixed,Positive
U6N5,84.1911357,Tommy Hilfiger,Bottoms,Good,2.495969751,19,Bohemian,"S, M, L",L,Green,Below Average,30,Elle,Julie Sariñana,Fall,Evening,Negative,Unknown,Positive
V6E4,61.75162209,Jigsaw,Outerwear,Good,4.044180634,209,Preppy,"M, L, XL",L,Blue,Significant,31,Fashionista,Olivia Palermo,Fall/Winter,Weekend,Positive,Other,Positive
P5M0,76.16008847,Calvin Klein,Lingerie,Very Bad,4.455356971,146,Vintage,"S, L, XL",M,Black,Very Low,35,Fashionista,Aimee Song,Winter,Weekend,Neutral,Mixed,Positive
V2K4,84.40444128,Calvin Klein,Footwear,Very Bad,3.602455984,459,Edgy,"S, M, L",S,Black,Low,27,Fashionista,Aimee Song,Spring,Holiday,Positive,Positive,Other
G7K7,16.62251044,Ted Baker,Swimwear,Worst,2.697590232,333,Vintage,"S, L, XL",S,Blue,High,53,Grazia,Olivia Palermo,Winter,Holiday,Negative,Negative,Other
N0K2,29.80377402,Jigsaw,Activewear,Bad,4.039190716,300,Edgy,"S, L, XL",L,Blue,Very High,46,Cosmopolitan,Gigi Hadid,Winter,Evening,Negative,Other,Unknown
Y1H4,69.71829373,Ted Baker,Jewelry,Worst,1.785579098,365,Preppy,"S, M, L",M,Green,Very Low,22,Grazia,Song of Style,Spring,Daytime,Mixed,Other,Positive
H4E1,85.9971385,Ralph Lauren,Footwear,Good,3.88354364,165,Vintage,"M, L, XL",M,Green,Negligible,37,Harper's Bazaar,Leandra Medine,Fall,Weekend,Positive,Unknown,Negative
H5I6,41.71257292,Alexander McQueen,Bottoms,Very Good,2.734646301,453,Streetwear,"S, L, XL",S,Black,Below Average,21,Harper's Bazaar,Leandra Medine,Fall/Winter,Holiday,Neutral,Other,Other
D1D8,30.1918734,Tommy Hilfiger,Accessories,Bad,3.544268213,96,Edgy,"S, L, XL",M,Red,Negligible,57,Cosmopolitan,Negin Mirsalehi,Spring,Weekend,Unknown,Neutral,Mixed
K0E6,88.6799949,Tommy Hilfiger,Activewear,Bad,4.40927053,189,Sporty,"M, L, XL",S,Green,Low,29,W,Chiara Ferragni,Spring/Summer,Nighttime,Positive,Positive,Other
X5B7,95.87652867,Calvin Klein,Lingerie,Very Good,2.675842556,310,Streetwear,"S, M, L",XL,Green,Very High,59,Grazia,Song of Style,Fall/Winter,Holiday,Positive,Positive,Mixed
J9R8,99.85570926,Tommy Hilfiger,Footwear,Very Good,4.666429855,31,Minimalist,"M, L, XL",M,Green,Significant,51,Fashionista,Gigi Hadid,Winter,Weekend,Neutral,Other,Neutral
C6E7,70.98289236,Burberry,Footwear,Worst,2.064038347,451,Vintage,"S, L, XL",XL,Blue,Below Average,55,Elle,Camila Coelho,Winter,Nighttime,Mixed,Mixed,Mixed
I7O9,63.91356216,Calvin Klein,Lingerie,Very Bad,3.105232655,257,Preppy,"S, L, XL",XL,Green,Below Average,62,Marie Claire,Aimee Song,Spring/Summer,Evening,Neutral,Neutral,Positive
E9X5,85.52251391,Ted Baker,Bottoms,Bad,3.701052118,3,Formal,"S, M, L",XL,Green,High,40,W,Gigi Hadid,Summer,Holiday,Positive,Mixed,Positive
F7Z2,53.2579927,Alexander McQueen,Tops,Best,2.578063317,424,Streetwear,"S, L, XL",S,Green,Low,18,Grazia,Gigi Hadid,Spring,Daytime,Mixed,Neutral,Positive
X4Z6,34.51462,Ted Baker,Activewear,Good,1.059510698,63,Preppy,"M, L, XL",XL,Green,Negligible,26,Grazia,Negin Mirsalehi,Fall,Nighttime,Mixed,Positive,Positive
R9T6,85.8047992,Mulberry,Jewelry,Worst,1.784138851,98,Preppy,"M, L, XL",M,Blue,Average,37,Grazia,Kendall Jenner,Spring/Summer,Weekend,Mixed,Negative,Positive
R4Z5,32.36506276,Mulberry,Bottoms,Very Good,4.116289187,373,Sporty,"M, L, XL",S,Green,Above Average,38,Elle,Leandra Medine,Summer,Weekend,Mixed,Unknown,Unknown
Z7P4,59.50402985,Ralph Lauren,Bottoms,Bad,2.479761754,383,Vintage,"M, L, XL",M,Green,Significant,36,Elle,Julie Sariñana,Winter,Holiday,Mixed,Positive,Negative
S3R7,91.28965839,Alexander McQueen,Outerwear,Not Good,3.255571326,345,Casual,"S, M, L",S,Blue,Very High,39,Grazia,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Neutral,Neutral
H2Q8,67.61216137,Jigsaw,Activewear,Good,3.49028319,245,Sporty,"S, M, L",S,Black,High,62,InStyle,Chiara Ferragni,Fall/Winter,Evening,Mixed,Unknown,Other
R0W6,25.21553387,Ralph Lauren,Footwear,Worst,1.62702145,0,Streetwear,"S, M, L",XL,Black,Average,29,Glamour,Leandra Medine,Summer,Evening,Neutral,Other,Positive
V7H6,81.41466306,Ralph Lauren,Dresses,Best,3.072127416,217,Vintage,"M, L, XL",S,Green,Very High,29,Harper's Bazaar,Song of Style,Winter,Nighttime,Mixed,Positive,Other
U3E2,82.39595099,Calvin Klein,Dresses,Bad,2.881405166,111,Preppy,"S, M, L",L,Red,Very High,50,Glamour,Julie Sariñana,Fall/Winter,Daytime,Negative,Neutral,Positive
F5E2,37.86430957,Ted Baker,Activewear,Very Bad,1.315197933,25,Casual,"S, M, L",S,Green,Medium,38,Fashionista,Kendall Jenner,Fall/Winter,Nighttime,Unknown,Other,Neutral
